"filename", "language", "Markdown", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\CONTRIBUTING.md", "Markdown", 105, 0, 0, 0, 0, 38, 143
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 1
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\css\style.css", "CSS", 0, 0, 0, 1131, 39, 180, 1350
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\docs\README.md", "Markdown", 28, 0, 0, 0, 0, 15, 43
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\docs\architecture.md", "Markdown", 26, 0, 0, 0, 0, 16, 42
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\docs\data-flow-diagrams.md", "Markdown", 43, 0, 0, 0, 0, 11, 54
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\docs\development-guidelines.md", "Markdown", 40, 0, 0, 0, 0, 15, 55
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\index.html", "HTML", 0, 281, 0, 0, 19, 8, 308
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\js\chart-utils.js", "JavaScript", 0, 0, 98, 0, 24, 15, 137
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\js\charts.js", "JavaScript", 0, 0, 423, 0, 17, 78, 518
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\js\cost-category-analysis.js", "JavaScript", 0, 0, 164, 0, 15, 33, 212
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\js\cost-configuration.js", "JavaScript", 0, 0, 198, 0, 13, 43, 254
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\js\data-generators.js", "JavaScript", 0, 0, 383, 0, 12, 62, 457
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\js\data-source.js", "JavaScript", 0, 0, 615, 0, 28, 86, 729
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\js\data.js", "JavaScript", 0, 0, 543, 0, 29, 56, 628
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\js\date-utils.js", "JavaScript", 0, 0, 347, 0, 72, 46, 465
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\js\gauges.js", "JavaScript", 0, 0, 48, 0, 8, 9, 65
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\js\global-filters.js", "JavaScript", 0, 0, 255, 0, 19, 61, 335
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\js\main.js", "JavaScript", 0, 0, 32, 0, 9, 6, 47
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\js\manufacturing-dashboard.js", "JavaScript", 0, 0, 332, 0, 10, 55, 397
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\js\material-analysis.js", "JavaScript", 0, 0, 211, 0, 19, 47, 277
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\js\new_costing_data.js", "JavaScript", 0, 0, 388, 0, 21, 7, 416
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\js\org-costing.js", "JavaScript", 0, 0, 322, 0, 1, 57, 380
"c:\Development\ProductCostingDashboard\ProductCostingDashboard\js\quality-dashboard.js", "JavaScript", 0, 0, 322, 0, 19, 63, 404
"Total", "-", 243, 281, 4681, 1131, 374, 1007, 7717
